IRGC_ID,COUNTRY,LAT,LON,bdodmean,cecmean,cfvomean,claymean,nitrogenmean,phh2omean,sandmean,siltmean,socmean,ocdmean,T_ESP,T_ECE,S_ESP,S_ECE,pawc,moist
IRIS_313-11558,Bangladesh,23.61167,90.33972,1.35,18.6,8,45.3,1.27,5.7,24.1,30.7,24.3,9.2,2,0.1,2,0.1,230.4100037,200
IRIS_313-11561,Nepal,27.21167,84.73778,1.4,13,19.7,28.2,0.62,6.6,36.2,35.5,4.2,6.3,3,0.1,2,0.1,236.5440063,164
IRIS_313-11599,India,21.33306,83,1.72,33.8,12,41.1,0.53,7.6,23.3,35.5,3.2,6.5,1,0.1,1,0.1,220.5570068,110
IRIS_313-11607,India,23.97472,78.42111,1.68,37.7,15.5,34.7,0.49,7.6,22.2,43.1,4.3,6.9,1,0.1,1,0.2,194.0509949,92
IRIS_313-11608,Thailand,8.5375,99.72306,1.14,17.1,18.6,43.8,0.87,5.3,27.5,28.7,10.7,8.1,1,0.1,2,0.1,249.1390076,62
IRIS_313-11610,Thailand,8.5375,99.72306,1.14,17.1,18.6,43.8,0.87,5.3,27.5,28.7,10.7,8.1,1,0.1,2,0.1,249.1390076,62
IRIS_313-11638,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11639,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11640,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11641,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11642,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11645,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11646,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
